FECHA|ANALIZADOR|LOTE|CODIGO_PRUEBA|NOMBRE_PRUEBA|EVENTO
29/05/23 09:02:01                                                          |HOV 26 - DXI800 num 3                   |85321                                             |CLC11854  |Testosterona                                                                                                                                                                                            |CAL
29/05/23 09:02:01                                                          |HOV 26 - DXI800 num 3                   |85322                                             |CLC11854  |Testosterona                                                                                                                                                                                            |CAL
29/05/23 09:02:01                                                          |HOV 26 - DXI800 num 3                   |85323                                             |CLC11854  |Testosterona                                                                                                                                                                                            |CAL
29/05/23 10:46:00                                                          |HOV 26 - DXI800 num 3                   |B2007221                                          |CLC00638  |Procalcitonina                                                                                                                                                                                          |CAL
29/05/23 10:46:00                                                          |HOV 26 - DXI800 num 3                   |B2007222                                          |CLC00638  |Procalcitonina                                                                                                                                                                                          |CAL
29/05/23 10:46:00                                                          |HOV 26 - DXI800 num 3                   |B2007223                                          |CLC00638  |Procalcitonina                                                                                                                                                                                          |CAL
29/05/23 12:24:01                                                          |HOV 27 - DXI800 num 2 (externo cadena)  |85321                                             |CLC00821  |PSA (libre)                                                                                                                                                                                             |CAL
29/05/23 12:24:01                                                          |HOV 27 - DXI800 num 2 (externo cadena)  |85322                                             |CLC00821  |PSA (libre)                                                                                                                                                                                             |CAL
29/05/23 12:24:01                                                          |HOV 27 - DXI800 num 2 (externo cadena)  |85323                                             |CLC00821  |PSA (libre)                                                                                                                                                                                             |CAL
