FECHA|ANALIZADOR|LOTE|CODIGO_PRUEBA|NOMBRE_PRUEBA|EVENTO
13/06/23 08:10:00                                                          |HOV 25 - DXI800 num 1                   |64940                                             |CLC00061  |Ac anti peroxidasa tiroidea #TPO                                                                                                                                                                        |CAL
13/06/23 08:10:00                                                          |HOV 25 - DXI800 num 1                   |64942                                             |CLC00061  |Ac anti peroxidasa tiroidea #TPO                                                                                                                                                                        |CAL
13/06/23 08:10:00                                                          |HOV 25 - DXI800 num 1                   |64943                                             |CLC00061  |Ac anti peroxidasa tiroidea #TPO                                                                                                                                                                        |CAL
13/06/23 08:59:01                                                          |HOV 26 - DXI800 num 3                   |85321                                             |CLC00813  |Alfa-Fetoproteína                                                                                                                                                                                       |CAL
13/06/23 08:59:01                                                          |HOV 26 - DXI800 num 3                   |85322                                             |CLC00813  |Alfa-Fetoproteína                                                                                                                                                                                       |CAL
13/06/23 08:59:01                                                          |HOV 26 - DXI800 num 3                   |85323                                             |CLC00813  |Alfa-Fetoproteína                                                                                                                                                                                       |CAL
14/06/23 08:36:01                                                          |HOV 26 - DXI800 num 3                   |3180322T                                          |CLC02816  |Troponina I (alta sensibilidad)                                                                                                                                                                         |CAL
14/06/23 08:36:01                                                          |HOV 26 - DXI800 num 3                   |67671                                             |CLC02816  |Troponina I (alta sensibilidad)                                                                                                                                                                         |CAL
14/06/23 08:36:01                                                          |HOV 26 - DXI800 num 3                   |67672                                             |CLC02816  |Troponina I (alta sensibilidad)                                                                                                                                                                         |CAL
14/06/23 08:36:01                                                          |HOV 26 - DXI800 num 3                   |67673                                             |CLC02816  |Troponina I (alta sensibilidad)                                                                                                                                                                         |CAL
