FECHA|ANALIZADOR|LOTE|CODIGO_PRUEBA|NOMBRE_PRUEBA|EVENTO
21/04/23 10:30:01                                                          |HOV 26 - DXI800 num 3                   |85311                                             |CLC11977  |Cortisol                                                                                                                                                                                                |CAL
21/04/23 10:30:01                                                          |HOV 26 - DXI800 num 3                   |85312                                             |CLC11977  |Cortisol                                                                                                                                                                                                |CAL
21/04/23 10:30:01                                                          |HOV 26 - DXI800 num 3                   |85313                                             |CLC11977  |Cortisol                                                                                                                                                                                                |CAL
21/04/23 10:30:01                                                          |HOV 26 - DXI800 num 3                   |85321                                             |CLC11977  |Cortisol                                                                                                                                                                                                |CAL
21/04/23 10:30:01                                                          |HOV 26 - DXI800 num 3                   |85322                                             |CLC11977  |Cortisol                                                                                                                                                                                                |CAL
21/04/23 10:30:01                                                          |HOV 26 - DXI800 num 3                   |85323                                             |CLC11977  |Cortisol                                                                                                                                                                                                |CAL
21/04/23 10:02:00                                                          |HOV 26 - DXI800 num 3                   |B1803221                                          |CLC00638  |Procalcitonina                                                                                                                                                                                          |CAL
21/04/23 10:02:00                                                          |HOV 26 - DXI800 num 3                   |B1803222                                          |CLC00638  |Procalcitonina                                                                                                                                                                                          |CAL
21/04/23 10:02:00                                                          |HOV 26 - DXI800 num 3                   |B2007223                                          |CLC00638  |Procalcitonina                                                                                                                                                                                          |CAL
21/04/23 09:52:00                                                          |HOV 25 - DXI800 num 1                   |94911                                             |CLC00815  |CA 125                                                                                                                                                                                                  |CAL
21/04/23 09:52:00                                                          |HOV 25 - DXI800 num 1                   |94912                                             |CLC00815  |CA 125                                                                                                                                                                                                  |CAL
21/04/23 09:52:00                                                          |HOV 25 - DXI800 num 1                   |94913                                             |CLC00815  |CA 125                                                                                                                                                                                                  |CAL
21/04/23 09:45:00                                                          |HOV 25 - DXI800 num 1                   |85311                                             |CLC11768  |Coriogonadotropina (beta total)                                                                                                                                                                         |CAL
21/04/23 09:45:00                                                          |HOV 25 - DXI800 num 1                   |85312                                             |CLC11768  |Coriogonadotropina (beta total)                                                                                                                                                                         |CAL
21/04/23 09:45:00                                                          |HOV 25 - DXI800 num 1                   |85313                                             |CLC11768  |Coriogonadotropina (beta total)                                                                                                                                                                         |CAL
21/04/23 10:41:01                                                          |HOV 26 - DXI800 num 3                   |85311                                             |CLC00813  |Alfa-Fetoproteína                                                                                                                                                                                       |CAL
21/04/23 10:41:01                                                          |HOV 26 - DXI800 num 3                   |85312                                             |CLC00813  |Alfa-Fetoproteína                                                                                                                                                                                       |CAL
21/04/23 10:41:01                                                          |HOV 26 - DXI800 num 3                   |85313                                             |CLC00813  |Alfa-Fetoproteína                                                                                                                                                                                       |CAL
21/04/23 10:41:01                                                          |HOV 26 - DXI800 num 3                   |85321                                             |CLC00813  |Alfa-Fetoproteína                                                                                                                                                                                       |CAL
21/04/23 10:41:01                                                          |HOV 26 - DXI800 num 3                   |85322                                             |CLC00813  |Alfa-Fetoproteína                                                                                                                                                                                       |CAL
21/04/23 10:41:01                                                          |HOV 26 - DXI800 num 3                   |85323                                             |CLC00813  |Alfa-Fetoproteína                                                                                                                                                                                       |CAL
