FECHA|ANALIZADOR|LOTE|CODIGO_PRUEBA|NOMBRE_PRUEBA|EVENTO
26/05/23 13:17:07                                                          |HOV 27 - DXI800 num 2 (externo cadena)  |P342807                                           |CLC00463  |Interleucina 6                                                                                                                                                                                          |CCT
26/05/23 13:17:07                                                          |HOV 27 - DXI800 num 2 (externo cadena)  |P342807                                           |CLC00463  |Interleucina 6                                                                                                                                                                                          |TVC
26/05/23 13:31:59                                                          |HOV 26 - DXI800 num 3                   |P342815                                           |CLC00463  |Interleucina 6                                                                                                                                                                                          |CCT
26/05/23 13:31:31                                                          |HOV 25 - DXI800 num 1                   |P342815                                           |CLC00463  |Interleucina 6                                                                                                                                                                                          |CCT
26/05/23 13:19:19                                                          |HOV 27 - DXI800 num 2 (externo cadena)  |P342807                                           |CLC00463  |Interleucina 6                                                                                                                                                                                          |ACL
26/05/23 13:19:28                                                          |HOV 27 - DXI800 num 2 (externo cadena)  |P342812                                           |CLC00463  |Interleucina 6                                                                                                                                                                                          |ACL
26/05/23 13:50:19                                                          |HOV 25 - DXI800 num 1                   |P342807                                           |CLC00463  |Interleucina 6                                                                                                                                                                                          |ACL
26/05/23 09:00:01                                                          |HOV 26 - DXI800 num 3                   |85321                                             |CLC00814  |Antígeno carcinoembrionario #CEA                                                                                                                                                                        |CAL
26/05/23 09:00:01                                                          |HOV 26 - DXI800 num 3                   |85322                                             |CLC00814  |Antígeno carcinoembrionario #CEA                                                                                                                                                                        |CAL
26/05/23 09:00:01                                                          |HOV 26 - DXI800 num 3                   |85323                                             |CLC00814  |Antígeno carcinoembrionario #CEA                                                                                                                                                                        |CAL
26/05/23 08:52:01                                                          |HOV 25 - DXI800 num 1                   |85321                                             |CLC00821  |PSA (libre)                                                                                                                                                                                             |CAL
26/05/23 08:52:01                                                          |HOV 25 - DXI800 num 1                   |85322                                             |CLC00821  |PSA (libre)                                                                                                                                                                                             |CAL
26/05/23 08:52:01                                                          |HOV 25 - DXI800 num 1                   |85323                                             |CLC00821  |PSA (libre)                                                                                                                                                                                             |CAL
26/05/23 13:19:35                                                          |HOV 27 - DXI800 num 2 (externo cadena)  |P342815                                           |CLC00463  |Interleucina 6                                                                                                                                                                                          |ACL
26/05/23 13:49:24                                                          |HOV 26 - DXI800 num 3                   |P342807                                           |CLC00463  |Interleucina 6                                                                                                                                                                                          |ACL
26/05/23 13:49:36                                                          |HOV 26 - DXI800 num 3                   |P342815                                           |CLC00463  |Interleucina 6                                                                                                                                                                                          |ACL
26/05/23 12:02:01                                                          |HOV 27 - DXI800 num 2 (externo cadena)  |85321                                             |CLC11007  |Triyodotironina (libre) #T3L                                                                                                                                                                            |CAL
26/05/23 12:02:01                                                          |HOV 27 - DXI800 num 2 (externo cadena)  |85322                                             |CLC11007  |Triyodotironina (libre) #T3L                                                                                                                                                                            |CAL
26/05/23 12:02:01                                                          |HOV 27 - DXI800 num 2 (externo cadena)  |85323                                             |CLC11007  |Triyodotironina (libre) #T3L                                                                                                                                                                            |CAL
26/05/23 13:17:43                                                          |HOV 27 - DXI800 num 2 (externo cadena)  |P342812                                           |CLC00463  |Interleucina 6                                                                                                                                                                                          |CCT
26/05/23 13:17:43                                                          |HOV 27 - DXI800 num 2 (externo cadena)  |P342812                                           |CLC00463  |Interleucina 6                                                                                                                                                                                          |TVC
26/05/23 13:18:15                                                          |HOV 27 - DXI800 num 2 (externo cadena)  |P342815                                           |CLC00463  |Interleucina 6                                                                                                                                                                                          |CCT
26/05/23 13:18:15                                                          |HOV 27 - DXI800 num 2 (externo cadena)  |P342815                                           |CLC00463  |Interleucina 6                                                                                                                                                                                          |TVC
26/05/23 09:00:01                                                          |HOV 26 - DXI800 num 3                   |64940                                             |CLC00061  |Ac anti peroxidasa tiroidea #TPO                                                                                                                                                                        |CAL
26/05/23 09:00:01                                                          |HOV 26 - DXI800 num 3                   |64942                                             |CLC00061  |Ac anti peroxidasa tiroidea #TPO                                                                                                                                                                        |CAL
26/05/23 09:00:01                                                          |HOV 26 - DXI800 num 3                   |64943                                             |CLC00061  |Ac anti peroxidasa tiroidea #TPO                                                                                                                                                                        |CAL
26/05/23 13:49:29                                                          |HOV 26 - DXI800 num 3                   |P342812                                           |CLC00463  |Interleucina 6                                                                                                                                                                                          |ACL
26/05/23 13:31:09                                                          |HOV 25 - DXI800 num 1                   |P342807                                           |CLC00463  |Interleucina 6                                                                                                                                                                                          |CCT
26/05/23 13:31:19                                                          |HOV 25 - DXI800 num 1                   |P342812                                           |CLC00463  |Interleucina 6                                                                                                                                                                                          |CCT
26/05/23 13:31:40                                                          |HOV 26 - DXI800 num 3                   |P342807                                           |CLC00463  |Interleucina 6                                                                                                                                                                                          |CCT
26/05/23 13:31:50                                                          |HOV 26 - DXI800 num 3                   |P342812                                           |CLC00463  |Interleucina 6                                                                                                                                                                                          |CCT
26/05/23 13:50:25                                                          |HOV 25 - DXI800 num 1                   |P342812                                           |CLC00463  |Interleucina 6                                                                                                                                                                                          |ACL
26/05/23 13:50:31                                                          |HOV 25 - DXI800 num 1                   |P342815                                           |CLC00463  |Interleucina 6                                                                                                                                                                                          |ACL
26/05/23 11:48:00                                                          |HOV 27 - DXI800 num 2 (externo cadena)  |64940                                             |CLC11015  |Paratirina (intacta) #PTHI                                                                                                                                                                              |CAL
26/05/23 11:48:00                                                          |HOV 27 - DXI800 num 2 (externo cadena)  |64942                                             |CLC11015  |Paratirina (intacta) #PTHI                                                                                                                                                                              |CAL
26/05/23 11:48:00                                                          |HOV 27 - DXI800 num 2 (externo cadena)  |64943                                             |CLC11015  |Paratirina (intacta) #PTHI                                                                                                                                                                              |CAL
