FECHA|ANALIZADOR|LOTE|CODIGO_PRUEBA|NOMBRE_PRUEBA|EVENTO
16/05/23 10:49:01                                                          |HOV 26 - DXI800 num 3                   |94931                                             |CLC00816  |CA 15.3                                                                                                                                                                                                 |CAL
16/05/23 10:49:01                                                          |HOV 26 - DXI800 num 3                   |94932                                             |CLC00816  |CA 15.3                                                                                                                                                                                                 |CAL
16/05/23 10:49:01                                                          |HOV 26 - DXI800 num 3                   |94993                                             |CLC00816  |CA 15.3                                                                                                                                                                                                 |CAL
16/05/23 11:46:01                                                          |HOV 26 - DXI800 num 3                   |94931                                             |CLC00817  |CA 19.9                                                                                                                                                                                                 |CAL
16/05/23 11:46:01                                                          |HOV 26 - DXI800 num 3                   |94932                                             |CLC00817  |CA 19.9                                                                                                                                                                                                 |CAL
16/05/23 11:46:01                                                          |HOV 26 - DXI800 num 3                   |94993                                             |CLC00817  |CA 19.9                                                                                                                                                                                                 |CAL
17/05/23 09:11:01                                                          |HOV 26 - DXI800 num 3                   |85321                                             |CLC00820  |PSA                                                                                                                                                                                                     |CAL
17/05/23 09:11:01                                                          |HOV 26 - DXI800 num 3                   |85322                                             |CLC00820  |PSA                                                                                                                                                                                                     |CAL
17/05/23 09:11:01                                                          |HOV 26 - DXI800 num 3                   |85323                                             |CLC00820  |PSA                                                                                                                                                                                                     |CAL
17/05/23 10:14:00                                                          |HOV 25 - DXI800 num 1                   |94931                                             |CLC00815  |CA 125                                                                                                                                                                                                  |CAL
17/05/23 10:14:00                                                          |HOV 25 - DXI800 num 1                   |94932                                             |CLC00815  |CA 125                                                                                                                                                                                                  |CAL
17/05/23 10:14:00                                                          |HOV 25 - DXI800 num 1                   |94993                                             |CLC00815  |CA 125                                                                                                                                                                                                  |CAL
16/05/23 10:51:01                                                          |HOV 26 - DXI800 num 3                   |85321                                             |CLC00033  |Tirotropina #TSH                                                                                                                                                                                        |CAL
16/05/23 10:51:01                                                          |HOV 26 - DXI800 num 3                   |85322                                             |CLC00033  |Tirotropina #TSH                                                                                                                                                                                        |CAL
16/05/23 10:51:01                                                          |HOV 26 - DXI800 num 3                   |85323                                             |CLC00033  |Tirotropina #TSH                                                                                                                                                                                        |CAL
16/05/23 09:56:00                                                          |HOV 26 - DXI800 num 3                   |85321                                             |CLC00813  |Alfa-Fetoproteína                                                                                                                                                                                       |CAL
16/05/23 09:56:00                                                          |HOV 26 - DXI800 num 3                   |85322                                             |CLC00813  |Alfa-Fetoproteína                                                                                                                                                                                       |CAL
16/05/23 09:56:00                                                          |HOV 26 - DXI800 num 3                   |85323                                             |CLC00813  |Alfa-Fetoproteína                                                                                                                                                                                       |CAL
16/05/23 09:56:00                                                          |HOV 26 - DXI800 num 3                   |85321                                             |CLC00814  |Antígeno carcinoembrionario #CEA                                                                                                                                                                        |CAL
16/05/23 09:56:00                                                          |HOV 26 - DXI800 num 3                   |85322                                             |CLC00814  |Antígeno carcinoembrionario #CEA                                                                                                                                                                        |CAL
16/05/23 09:56:00                                                          |HOV 26 - DXI800 num 3                   |85323                                             |CLC00814  |Antígeno carcinoembrionario #CEA                                                                                                                                                                        |CAL
