FECHA|ANALIZADOR|LOTE|CODIGO_PRUEBA|NOMBRE_PRUEBA|EVENTO
08/05/23 09:13:37                                                          |HOV 27 - DXI800 num 2 (externo cadena)  |94932                                             |CLC00815  |CA 125                                                                                                                                                                                                  |CCT
08/05/23 09:13:37                                                          |HOV 27 - DXI800 num 2 (externo cadena)  |94932                                             |CLC00816  |CA 15.3                                                                                                                                                                                                 |CCT
08/05/23 09:13:37                                                          |HOV 27 - DXI800 num 2 (externo cadena)  |94932                                             |CLC00817  |CA 19.9                                                                                                                                                                                                 |CCT
08/05/23 09:13:37                                                          |HOV 27 - DXI800 num 2 (externo cadena)  |94932                                             |CLC11011  |Tiroglobulina                                                                                                                                                                                           |CCT
08/05/23 09:13:51                                                          |HOV 27 - DXI800 num 2 (externo cadena)  |94993                                             |CLC00815  |CA 125                                                                                                                                                                                                  |CCT
08/05/23 09:13:51                                                          |HOV 27 - DXI800 num 2 (externo cadena)  |94993                                             |CLC00816  |CA 15.3                                                                                                                                                                                                 |CCT
08/05/23 09:13:51                                                          |HOV 27 - DXI800 num 2 (externo cadena)  |94993                                             |CLC00817  |CA 19.9                                                                                                                                                                                                 |CCT
08/05/23 09:13:51                                                          |HOV 27 - DXI800 num 2 (externo cadena)  |94993                                             |CLC11011  |Tiroglobulina                                                                                                                                                                                           |CCT
08/05/23 09:14:25                                                          |HOV 25 - DXI800 num 1                   |94993                                             |CLC00815  |CA 125                                                                                                                                                                                                  |ACL
08/05/23 09:14:25                                                          |HOV 25 - DXI800 num 1                   |94993                                             |CLC00816  |CA 15.3                                                                                                                                                                                                 |ACL
08/05/23 09:14:25                                                          |HOV 25 - DXI800 num 1                   |94993                                             |CLC00817  |CA 19.9                                                                                                                                                                                                 |ACL
08/05/23 09:14:25                                                          |HOV 25 - DXI800 num 1                   |94993                                             |CLC11011  |Tiroglobulina                                                                                                                                                                                           |ACL
08/05/23 09:09:03                                                          |HOV 25 - DXI800 num 1                   |94931                                             |CLC00815  |CA 125                                                                                                                                                                                                  |CCT
08/05/23 09:09:03                                                          |HOV 25 - DXI800 num 1                   |94931                                             |CLC00815  |CA 125                                                                                                                                                                                                  |TVC
08/05/23 09:09:03                                                          |HOV 25 - DXI800 num 1                   |94931                                             |CLC00815  |CA 125                                                                                                                                                                                                  |RLC
08/05/23 09:09:03                                                          |HOV 25 - DXI800 num 1                   |94931                                             |CLC00816  |CA 15.3                                                                                                                                                                                                 |CCT
08/05/23 09:09:03                                                          |HOV 25 - DXI800 num 1                   |94931                                             |CLC00816  |CA 15.3                                                                                                                                                                                                 |TVC
08/05/23 09:09:03                                                          |HOV 25 - DXI800 num 1                   |94931                                             |CLC00816  |CA 15.3                                                                                                                                                                                                 |RLC
08/05/23 09:09:03                                                          |HOV 25 - DXI800 num 1                   |94931                                             |CLC00817  |CA 19.9                                                                                                                                                                                                 |CCT
