FECHA|ANALIZADOR|LOTE|CODIGO_PRUEBA|NOMBRE_PRUEBA|EVENTO
27/04/23 10:34:01                                                          |HOV 26 - DXI800 num 3                   |67671                                             |CLC00544  |Creatina quinasa MB (masa)                                                                                                                                                                              |CAL
27/04/23 10:34:01                                                          |HOV 26 - DXI800 num 3                   |67672                                             |CLC00544  |Creatina quinasa MB (masa)                                                                                                                                                                              |CAL
27/04/23 10:34:01                                                          |HOV 26 - DXI800 num 3                   |67673                                             |CLC00544  |Creatina quinasa MB (masa)                                                                                                                                                                              |CAL
27/04/23 10:17:00                                                          |HOV 26 - DXI800 num 3                   |94911                                             |CLC00816  |CA 15.3                                                                                                                                                                                                 |CAL
27/04/23 10:17:00                                                          |HOV 26 - DXI800 num 3                   |94912                                             |CLC00816  |CA 15.3                                                                                                                                                                                                 |CAL
27/04/23 10:17:00                                                          |HOV 26 - DXI800 num 3                   |94913                                             |CLC00816  |CA 15.3                                                                                                                                                                                                 |CAL
